action_norm_q0_dual_temperature,action_norm_q0_kl_q_rel,action_norm_q0_loss_temperature,action_norm_q0_q_max,action_norm_q0_q_mean,action_norm_q0_q_min,action_norm_q1_dual_temperature,action_norm_q1_kl_q_rel,action_norm_q1_loss_temperature,action_norm_q1_q_max,action_norm_q1_q_mean,action_norm_q1_q_min,critic_loss,dual_alpha_mean,dual_alpha_stddev,kl_mean_rel,kl_stddev_rel,loss_alpha,loss_policy,objective0_dual_temperature,objective0_kl_q_rel,objective0_loss_temperature,objective0_q_max,objective0_q_mean,objective0_q_min,objective0_reward,objective1_dual_temperature,objective1_kl_q_rel,objective1_loss_temperature,objective1_q_max,objective1_q_mean,objective1_q_min,objective1_reward,pi_stddev_cond,pi_stddev_max,pi_stddev_min,policy_loss,steps,walltime
1.3132616,0.5900359,-1.9234661,-1.3005016,-2.1349816,-3.0735726,1.3132616,0.5900359,-1.9234661,-1.3005016,-2.1349816,-3.0735726,4.146395,1.3132616,10.000046,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.013232618,82.759285,1.3132616,10.861898,3.6364264,6.0969,1.4703627,-3.0387068,0.0,1.3132616,11.696112,5.2685804,7.8115683,2.8152611,-2.2740347,0.0,1.005317,0.6920326,0.6883769,82.759285,1,0
1.2699503,0.61691713,-1.9242126,-1.2996781,-2.132228,-3.0679886,1.2699503,0.61691713,-1.9242126,-1.2996781,-2.132228,-3.0679886,2.983868,1.2713461,10.028499,"[1.3440367  0.31132433 1.710256   0.8972269  1.6361152  0.39752296
 2.1531644  0.3231577  0.5147322  0.14040466]","[194.11714  643.78455   56.210426 172.11679    7.068586 514.41235
 136.28159  524.6386   474.0234   389.4345  ]",-0.03039212,82.39931,1.3573096,9.430627,3.6008515,5.9901266,1.7186003,-2.5406156,0.0,1.3573755,10.711484,5.591459,8.1270895,3.3993049,-1.3458449,0.0,1.0334668,0.6964251,0.6739168,82.39931,7,1.8254668712615967
