action_norm_q_dual_temperature,action_norm_q_kl_q_rel,action_norm_q_loss_temperature,action_norm_q_q_max,action_norm_q_q_mean,action_norm_q_q_min,critic_loss,dual_alpha_mean,dual_alpha_stddev,kl_mean_rel,kl_stddev_rel,loss_alpha,loss_policy,pi_stddev_cond,pi_stddev_max,pi_stddev_min,policy_loss,steps,task_dual_temperature,task_kl_q_rel,task_loss_temperature,task_q_max,task_q_mean,task_q_min,task_reward,walltime
1.3132616,0.642742,-5.5884433,-4.9090257,-5.8054776,-6.750925,4.0700326,1.3132616,10.000046,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.09395158,293.48187,1.0105741,0.69418275,0.68692577,293.48187,1,1.3132616,3.844146,4.4221435,4.8916936,3.0380576,1.3069158,1.6484375,0
1.2769952,0.67515135,-5.580205,-4.9070063,-5.79562,-6.724473,2.9986515,1.2769934,10.019165,"[0.00886523 0.00243043 0.0084449  0.02480556 0.003388   0.0176505
 0.00468839 0.00015397 0.00082731 0.001234   0.03286478 0.00800733
 0.01607687 0.02011276 0.02447262 0.0260939  0.00558933 0.03426918
 0.02683238 0.00631607 0.02504264 0.02484695 0.00823899 0.00399394
 0.00077445 0.03978777 0.02333932 0.01191809 0.00706483 0.04619552
 0.00299708 0.05108363 0.07046662 0.00078205 0.02270689 0.02633245
 0.00460623 0.00406728 0.01923374 0.06055013 0.01171175 0.00828404
 0.0503372  0.0211856  0.01383507 0.04900737 0.0110448  0.01432899
 0.0150484  0.01510287 0.001125   0.01314755 0.03432611 0.03674255
 0.01425475 0.00868916 0.00017132 0.0122963  0.08763203 0.0118932
 0.00847745 0.00123671 0.01145395 0.01729421 0.00330579 0.03652236
 0.00920127 0.00272368 0.0296009  0.00697701 0.0167762 ]","[1.9144907e+00 3.1795740e-01 3.2821095e-01 7.7085435e-01 3.4563193e+00
 1.8581127e+01 7.8617978e+00 1.3320990e+00 6.5337300e-01 6.4073777e-01
 1.1284237e-01 4.0560020e+01 1.3252145e-01 1.0410234e+00 9.2910469e-01
 1.8547121e+00 6.3383994e+00 2.3365815e+00 1.4752793e+00 2.3407321e+00
 1.0307218e+00 9.6658200e-02 2.3563206e-01 2.0841804e-01 7.4254614e-01
 8.5558109e+00 2.4425924e+00 9.1095626e-01 2.2992160e+00 1.0654497e+00
 2.5713401e+00 2.6705103e+00 2.0128784e-01 7.9600781e-01 1.4961156e+00
 6.1666467e-03 1.0439355e+00 1.3855164e+00 2.6198707e+00 6.4704490e+00
 3.1514299e+00 1.4738154e-01 3.3835102e+01 1.0722802e+00 2.2160412e-01
 5.5595536e+00 1.9210998e+00 9.5341522e-01 2.7547793e+00 1.3239430e+00
 2.0580760e-01 3.8346958e-01 5.6004709e-01 1.1190854e+00 3.1977258e+00
 2.3394260e-01 1.1653132e+00 2.6456504e+00 2.5772827e+00 5.7529662e-02
 3.3478034e-01 3.4396267e+00 2.4495330e+00 3.9995534e+00 8.0254215e-01
 2.7649117e+00 8.9690125e-01 2.7395136e+01 4.9628053e+00 6.8789595e-01
 8.5774260e+00]",0.08722002,292.84573,1.0129604,0.6941856,0.68530935,292.84573,6,1.3493965,4.734567,4.43905,5.087927,2.7952795,0.6708305,1.5507812,2.2467920780181885
