action_norm_q0_dual_temperature,action_norm_q0_kl_q_rel,action_norm_q0_loss_temperature,action_norm_q0_q_max,action_norm_q0_q_mean,action_norm_q0_q_min,action_norm_q1_dual_temperature,action_norm_q1_kl_q_rel,action_norm_q1_loss_temperature,action_norm_q1_q_max,action_norm_q1_q_mean,action_norm_q1_q_min,critic_loss,dual_alpha_mean,dual_alpha_stddev,kl_mean_rel,kl_stddev_rel,loss_alpha,loss_policy,objective0_dual_temperature,objective0_kl_q_rel,objective0_loss_temperature,objective0_q_max,objective0_q_mean,objective0_q_min,objective0_reward,objective1_dual_temperature,objective1_kl_q_rel,objective1_loss_temperature,objective1_q_max,objective1_q_mean,objective1_q_min,objective1_reward,pi_stddev_cond,pi_stddev_max,pi_stddev_min,policy_loss,steps,walltime
1.3132616,0.60138446,-1.9219036,-1.2918361,-2.1350074,-3.0892992,1.3132616,0.60138446,-1.9219036,-1.2918361,-2.1350074,-3.0892992,4.0983696,1.3132616,10.000046,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.013232618,82.909584,1.3132616,11.47346,3.0373328,5.553875,0.65476584,-4.3132963,0.0,1.3132616,13.016471,2.4977427,5.1292806,-0.46835643,-6.421874,0.0,1.0087924,0.69367516,0.68763244,82.909584,1,0
1.2770147,0.63142383,-1.916336,-1.2789677,-2.1271644,-3.0718482,1.2770147,0.63142383,-1.916336,-1.2789677,-2.1271644,-3.0718482,3.1168606,1.2777684,10.019457,"[1.0302689  1.1140708  1.2094269  1.26594    0.09198148 0.9682844
 0.13040112 0.9959654  0.849869   0.9240927 ]","[238.94626   67.85794  204.28134   65.53033   37.513405 214.81485
 229.83994  242.53612  367.10342   86.22616 ]",-0.015669763,82.177,1.3501128,11.894045,3.0721138,5.7017536,0.42146602,-4.98974,0.0,1.3501098,13.262559,2.6828659,5.4232635,-0.45886153,-6.5901175,0.0,1.0307791,0.69862217,0.6778052,82.177,6,1.859513521194458
